frame,knee_angle
4,174.31981336921731
6,178.1258263195029
7,178.71690407125328
20,169.36057404624432
21,174.17426268880507
37,174.52012434552674
39,172.9434513923101
41,179.42210523783388
43,165.755471363742
46,178.99667685141972
118,168.62875029064188
119,166.3204385647563
129,170.73754399277496
132,158.01530930904494
134,176.63858475526004
135,177.68628222305637
136,177.56278829805268
137,177.46772840247007
138,176.79445101140723
139,176.95308731007458
140,177.62077858296968
141,178.27254112728914
142,179.03682362193223
143,179.85940278375102
144,179.76090551924116
145,179.729206475183
146,179.03432432688382
147,179.22914415053373
148,178.3440912593142
149,178.11599907637083
150,177.73313249183116
151,177.43696767507294
152,177.09171162135976
153,176.78879284053508
154,175.90504345274704
155,176.51222890319022
156,176.18920007455887
157,175.87596090925192
158,176.05967473770707
159,175.43100454022343
160,175.4513277961023
161,175.3467335762262
162,174.96854454592182
163,174.90861098469503
164,174.94984783470886
165,174.97328493217236
166,174.63874998576952
167,174.56270383975868
168,174.62663483321435
169,174.40554944723593
170,174.40610891374155
171,174.4979761871851
172,174.43752425921238
173,174.53094097189037
174,174.8009817782807
175,174.6213557019447
176,174.46040473480465
177,174.38599191146494
178,174.23584710820685
179,174.09464222183573
180,174.05207819618633
181,174.17328916682845
182,173.93038280854512
183,173.7743441088216
184,173.76081224160015
185,173.4798742118407
186,173.11137096952487
187,172.63165197431093
188,172.30179378589702
189,171.98460534760812
190,171.519330170243
191,171.5209094609959
192,171.00932361983365
193,170.2476032249023
194,170.49916132264067
195,169.7743306794425
196,169.76431015938135
197,169.14881984825013
198,167.97270809227817
199,168.02193209764192
200,167.37866794143847
201,166.78144485855898
202,167.20494578870887
203,167.94912752238886
204,167.74446734703145
205,166.592123202347
206,165.25619457959598
207,166.41560655587708
208,167.5166957445329
209,167.18834864597923
210,167.17299333496933
211,168.55093484087237
212,169.3736896095717
213,170.44753246335762
214,171.71978052757422
215,173.01918781092294
216,173.9323523745872
217,175.03066121491747
218,176.28330637975134
219,177.35899454845557
220,178.931246608342
221,179.90449041129568
222,178.66735005134458
223,177.05260244502972
224,175.87181056098984
225,174.99350920939605
226,174.39776940465043
227,173.8757757407891
228,173.72453184627395
229,173.61775389586967
230,173.23596950601268
231,173.1656559541643
232,173.00999178818992
233,173.1985904330489
234,173.20427978996696
235,173.45246831724012
236,173.52620384110884
237,173.69888024931154
238,173.74959977683235
239,173.99134009621574
240,174.13509003432833
241,174.2356316679752
242,174.27172793165053
243,174.33390157437185
244,174.3697229264731
245,174.45933986045114
246,174.5344475544639
247,174.60523092498227
248,174.69077596634872
249,174.7893949888219
250,174.80020642093518
251,174.86412045569978
252,174.9265900612498
253,174.97869170347312
254,175.01004220389254
255,174.9356232223943
256,174.87599217603884
257,174.85455541573452
258,174.93209743179878
259,174.9709046234541
260,174.96542798350302
261,175.10536694003838
262,175.13063504104048
263,175.22915687255596
264,175.25495484066883
265,175.34842728789337
266,175.28563482615732
267,175.28609630590938
268,175.1547120434798
269,175.09485271086285
270,174.98576538597058
271,174.76824433096783
272,174.67373617313257
273,174.5360569834035
274,174.5559951834637
275,174.60772617949678
276,174.58529771880274
277,174.63339989979403
278,174.6460694431721
279,174.684962748149
280,174.79280281534867
281,174.70935747017413
282,174.68127044460243
283,174.69372481310816
284,174.70835766607593
285,174.94376411411199
286,175.15498553114378
287,175.43395639443688
288,175.78642750829752
289,176.16573361228967
290,176.61408508176126
291,177.03239559202368
292,177.4939338532717
293,178.06016904311042
294,178.40909936069323
295,178.5873411913655
296,178.6874825812953
297,178.90145289886863
298,179.14015917661638
299,179.3290979445187
300,179.46245364845802
301,179.7662459649689
302,179.92245285035142
303,179.8806432563566
304,179.70211531733523
305,179.54527010545837
306,179.56925146981658
307,179.5139621564801
308,179.532948974564
309,179.59375167577736
310,179.51092336334443
311,179.4535312658918
312,179.3768683506905
313,179.18226662438312
314,179.24082666266867
315,179.21810393323446
316,179.12126536769676
317,178.85555206727395
318,178.6481234001645
319,178.2484564631127
320,177.92873018057514
321,177.6931287058743
322,177.2648661297124
323,176.70135892016782
324,176.2456696476165
325,176.22484270142988
326,175.71543506292667
327,174.99619841872547
328,174.7297887385088
329,174.20688671762701
330,173.98671599876823
331,173.4206774411365
332,172.7103862242087
333,172.33776515734507
334,172.40288940634642
335,171.9023726795179
336,171.26531720397372
337,170.11750181145803
338,169.85154831538094
339,168.78407589821782
340,167.98123408520382
341,166.31763907689307
342,162.75249052144292
343,160.43140092845647
344,158.02999837617037
345,158.0969384704932
346,154.25911915629703
347,149.56715697778068
348,148.9510129593306
349,143.41123733467558
350,140.68044248303707
351,138.91324271949495
352,135.90956988754013
353,131.58558307939703
354,134.35728758604256
355,135.96096348754563
356,136.57773024451006
357,136.22554044991094
358,138.6955243172014
359,141.68551073867243
360,144.52441992961923
361,147.26728730563607
362,144.8734056947041
363,150.12332634969627
364,150.95120553061912
365,153.38842613005895
366,157.8900382080401
367,159.10777604970866
368,160.74030635404165
369,163.77082691919145
370,166.1461784897898
371,168.83618961585805
372,170.46146010099025
373,172.01851487732105
374,173.28655231368109
375,174.26630217962943
376,175.14395227962402
377,176.084979009214
378,177.05215165734325
379,177.9570408523863
380,178.69416248398474
381,179.28588770554398
382,179.67907418862578
383,179.88014234429127
384,179.53817397290788
385,179.2331212301102
386,178.92180154891258
387,178.60293621863812
388,178.32715895727915
389,178.04662652775022
390,177.85898742165398
391,177.82701107974717
392,177.71974111651585
393,177.61383882583334
394,177.58078737016712
395,177.46651956812278
396,177.35672747176088
397,177.2578020015768
398,177.14037438968182
399,177.04213283224186
400,176.91335471049058
401,176.91984675998594
402,176.90870460830206
403,176.87003176036615
404,177.07237112478828
405,177.23994511775663
406,177.36874324933623
407,177.42958876434628
408,177.63873371336942
409,177.74120248494359
410,177.88796331640285
411,178.19259369362445
412,178.276317888121
413,178.42328765565716
414,178.5041461344235
415,178.63015343424198
416,178.89500888500723
417,179.1052355901327
418,179.0386174679381
419,178.98768428927542
420,179.0571350505172
421,178.9581665692246
422,179.06059372043575
423,179.09713747984898
424,179.04013918774424
425,179.02935151738762
426,178.9308466716889
427,178.8439765750674
428,178.7894371873148
429,179.26550043878945
430,179.27449493780188
431,179.5778975106083
432,179.81820159802666
433,179.44758447566267
434,179.11018475131112
435,178.58936653862915
436,178.0958483090405
437,177.58799789304007
438,176.92109666782738
439,176.2654073023009
440,175.69648640125348
441,175.15374684780403
442,174.44605400779727
443,173.93379169474005
444,173.53863182870685
445,173.14932910371192
446,173.17791691008668
447,173.44387136514538
448,173.64775947338455
449,173.9740991644855
450,174.48617544618105
451,174.54544329129882
452,174.62730818941174
453,174.68541778680242
454,174.8220240967898
455,175.0476171813397
456,175.04309441969693
457,175.28241566727536
458,174.97581266520243
459,175.0555665870056
460,175.1717760496481
461,174.97533603817544
462,174.90090507814494
463,175.16989801495254
464,175.15260945744822
465,175.2726783938387
466,174.8466068965942
467,174.74778718629094
468,174.4649676873005
469,174.14384471002626
470,174.02134337464173
471,174.11280920023262
472,173.6184661792031
473,173.09176067296198
474,172.74298838598506
475,172.10740826064196
476,171.398039506717
477,170.3357930672798
478,169.85950422979658
479,169.63034115927888
480,168.77608742204976
481,167.91549573713885
482,166.98360069044293
483,166.67567505525997
484,166.36581891409452
485,165.817940487056
486,165.97280564229368
487,165.28871474300254
488,164.8117539859827
489,164.92384377695163
490,164.74705687453908
491,163.21368275416933
492,161.59604516150173
493,159.3607458324439
494,158.2344778258784
495,156.99723413861585
496,154.85040414955355
497,151.39176634605045
498,151.94231580512965
499,149.5126231381659
500,150.7681620435038
501,152.54371918595314
502,153.53389201226608
503,154.93740786057413
504,156.20284203034964
505,157.23387202144312
506,158.31187770625235
507,159.90425639348678
508,162.1298951426608
509,164.8661460905321
510,166.23835594603236
511,167.97172670425914
512,169.70117868803231
513,171.14616110716676
514,172.8823363554921
515,173.941972314565
516,175.8759056476665
517,176.7196498015615
518,178.14226674939445
519,179.01249654431447
520,179.89899727006156
521,179.37416405500966
522,178.48355600314113
523,177.88663502324218
524,177.60228572036428
525,177.34194232561572
526,176.78968383496587
527,176.25890259123335
528,175.94097396840363
529,175.51240632812454
530,175.43553985242465
531,175.02934604281813
532,174.7512708052594
533,174.5754960500657
534,174.46575129982799
535,174.41494763123222
536,174.56433268548628
537,174.53369964624065
538,174.28190258935527
539,174.20659482329754
540,174.11347639467064
541,174.0318697802628
542,173.99624432610491
543,173.9918733158957
544,174.1042024668527
545,174.16887404378684
546,174.28622893825383
547,174.44905293950794
548,174.4549929457053
549,174.50745474313052
550,174.78396332941662
551,174.93602346411083
552,175.07372759936123
553,175.40200411147072
554,176.06060258735988
555,176.36376200838916
556,176.4148977452128
557,176.90101956024375
558,177.12766280346918
559,177.17887879811005
560,177.38527962545965
561,177.68229786923607
562,177.69682924667032
563,177.82554716597775
564,177.96858347637937
565,177.9749091447239
566,178.03367258286613
567,178.22095864188844
568,178.0908227442403
569,177.85463784963352
570,177.8668659960469
571,178.02683594443025
572,178.43602861940076
573,178.52056859360349
574,178.7349687269338
575,179.00578496686322
576,179.3013100749111
577,179.61789666452873
578,179.76629970894757
579,179.18386117486185
580,178.36071629507464
581,177.21475426332395
582,176.50526151314898
583,175.38552474447204
584,174.52824189923376
585,173.6219905983905
586,172.45623218212816
587,171.68160159467698
588,171.3810775040003
589,170.83241045099751
590,170.62388242731654
591,170.71450346706627
592,170.70153084957118
593,170.94143565546293
594,171.24880194393626
595,171.4086875849025
596,171.76112354497593
597,172.3866244337585
598,172.21518758918114
599,172.577144033086
600,172.80296051281056
601,173.17638888180255
602,173.57840787615663
603,173.9872594833038
604,174.39762266128088
605,174.82682695321503
606,173.34383855528483
607,171.1680183744626
608,169.59101519544976
609,168.8482691166317
610,168.80142806751195
611,169.1019658698239
612,169.30293281108715
613,169.33483255535785
614,170.32588031853112
615,171.2356138124122
616,172.22399933772587
617,172.7915931850864
618,173.49885655294833
619,173.38743613287525
620,173.34920652792513
621,173.2436348790985
622,173.6428286792552
623,173.64383572353546
624,174.63237406026198
625,175.73279687813263
626,175.62649357377603
627,175.74064795059013
628,176.37324980950086
629,176.35105137318703
630,176.71102468965879
631,177.24748399317767
632,177.11507216960672
633,177.10359435358964
634,177.42851285920102
635,177.81719966484684
636,177.63134664746778
637,178.3019397751661
638,178.37736686659042
639,178.65749399866885
640,178.64963522255078
641,178.32462534428518
642,177.99216123592683
643,177.29447439187655
644,177.21976335351835
645,176.5264486724551
646,176.76828490788154
647,176.46577228585082
648,176.69052789384054
649,176.61672993745805
652,170.5128575301593
653,179.17857100753702
654,179.31123369555044
655,179.50958675043077
656,178.99349714106532
657,178.6143380532096
658,178.13354174030192
659,177.92186308479307
660,177.40856151752288
661,176.84099204423688
662,174.53594770507442
663,174.1453009772397
664,174.16805760831815
665,173.29508139709597
666,172.6125043864094
667,37.728755158079274
668,67.11650916243237
669,85.39090606443669
670,139.21960961189484
671,99.6428050365897
672,28.605908508288444
673,38.274875513993756
683,160.27531153061477
692,168.16752634058392
693,167.9382011114402
694,169.76762725884547
696,0.38898731484742705
698,22.340149822322896
699,24.220765740334542
700,22.995736631570303
701,20.535041195267386
707,178.41129775673673
708,179.24302708579293
709,179.7536564128702
710,177.14504130126653
711,175.79447345958215
712,176.55495061044516
713,162.955849780772
714,159.24327205559055
715,35.58695034027751
716,101.74122280981555
732,177.7683775045436
733,177.94021884748855
734,178.2888059495084
735,178.4402854283811
736,177.95047493473612
737,177.7763355521035
738,175.82651321763856
739,174.40427489943426
740,172.3726649179043
741,168.75494479069152
742,163.69399143635226
743,163.60668428457342
744,159.4339952031618
745,145.61385545992061
746,137.97420536606802
751,114.74212867602421
752,103.98037199133077
753,131.37859415981367
754,138.50430109338748
755,144.36356710634556
756,164.58173920492067
757,162.0881323488918
